
Epoch 0 --> 1/50, i= 750/1200, -3.00dB/90Hz, Tr_BER=0.513522, L_CE=0.369386, Now=13:57:52
Epoch 0 --> 1/50, i= 760/1200, -3.00dB/90Hz, Tr_BER=0.513498, L_CE=0.369316, Now=13:57:53
Epoch 0 --> 1/50, i= 770/1200, -4.00dB/90Hz, Tr_BER=0.513466, L_CE=0.369208, Now=13:57:53
Epoch 0 --> 1/50, i= 780/1200, -4.00dB/90Hz, Tr_BER=0.513432, L_CE=0.369204, Now=13:57:54
Epoch 0 --> 1/50, i= 790/1200, -4.00dB/90Hz, Tr_BER=0.513412, L_CE=0.369112, Now=13:57:54
Epoch 0 --> 1/50, i= 800/1200, -4.00dB/90Hz, Tr_BER=0.513382, L_CE=0.369057, Now=13:57:55
Epoch 0 --> 1/50, i= 810/1200, -3.00dB/90Hz, Tr_BER=0.513347, L_CE=0.368926, Now=13:57:55
Epoch 0 --> 1/50, i= 820/1200, -4.00dB/90Hz, Tr_BER=0.513332, L_CE=0.368882, Now=13:57:55
Epoch 0 --> 1/50, i= 830/1200, -4.00dB/90Hz, Tr_BER=0.513345, L_CE=0.368877, Now=13:57:56
Epoch 0 --> 1/50, i= 840/1200, -3.00dB/90Hz, Tr_BER=0.513324, L_CE=0.368834, Now=13:57:56
Epoch 0 --> 1/50, i= 850/1200, -2.00dB/90Hz, Tr_BER=0.513303, L_CE=0.368826, Now=13:57:57
Epoch 0 --> 1/50, i= 860/1200, -2.00dB/90Hz, Tr_BER=0.513286, L_CE=0.368752, Now=13:57:57
Epoch 0 --> 1/50, i= 870/1200, -3.00dB/90Hz, Tr_BER=0.513264, L_CE=0.368687, Now=13:57:58
Epoch 0 --> 1/50, i= 880/1200, -3.00dB/90Hz, Tr_BER=0.513214, L_CE=0.368581, Now=13:57:58
Epoch 0 --> 1/50, i= 890/1200, -4.00dB/90Hz, Tr_BER=0.513184, L_CE=0.368555, Now=13:57:59
Epoch 0 --> 1/50, i= 900/1200, -3.00dB/90Hz, Tr_BER=0.513180, L_CE=0.368531, Now=13:57:59
Epoch 0 --> 1/50, i= 910/1200, -3.00dB/90Hz, Tr_BER=0.513168, L_CE=0.368461, Now=13:57:59
Epoch 0 --> 1/50, i= 920/1200, -3.00dB/90Hz, Tr_BER=0.513150, L_CE=0.368408, Now=13:58:00
Epoch 0 --> 1/50, i= 930/1200, -3.00dB/90Hz, Tr_BER=0.513124, L_CE=0.368340, Now=13:58:00
Epoch 0 --> 1/50, i= 940/1200, -4.00dB/90Hz, Tr_BER=0.513091, L_CE=0.368225, Now=13:58:01
Epoch 0 --> 1/50, i= 950/1200, -3.00dB/90Hz, Tr_BER=0.513071, L_CE=0.368142, Now=13:58:01
